year,field,multiaffsize,multiaffshare,foreignaffshare
2011,Medicine,993142,12.784979388647344,17.782520693375755
2013,Medicine,1192492,13.273799740375617,17.616511570608193
2010,Medicine,910837,11.691773610426454,17.44246100682674
2007,Medicine,769813,11.168556519570338,15.784453981878874
2009,Medicine,862306,11.826312237187263,16.496533600054914
2008,Medicine,814792,11.83884966960893,15.612365491074206
1999,Neuroscience,59110,9.878193199120284,22.57235828052749
2007,Neuroscience,99816,13.74729502284203,18.54685905844629
2003,Neuroscience,75125,11.55008319467554,21.355307133802004
2010,Neuroscience,116654,14.970768254839099,19.268208886852957
2005,Neuroscience,86345,12.858880074121256,21.642799243447715
2018,Neuroscience,198304,17.92349120542198,18.701291393523338
2016,Neuroscience,171574,17.445533705573105,19.20352799679273
2004,Neuroscience,79393,12.308389908430215,21.1011051985264
2012,Neuroscience,128659,16.43103086453338,19.195837275307472
2009,Neuroscience,108972,14.7248834563007,18.852050355228716
2001,Neuroscience,65900,10.215477996965099,21.598336304218655
1998,Neuroscience,57486,10.258149810388616,22.248600983550958
2008,Neuroscience,102010,14.483874129987257,19.499153976311337
2015,Neuroscience,161984,17.43999407348874,19.660176991150443
2019,Neuroscience,214670,17.645222900265523,18.74389503418781
2000,Neuroscience,64024,10.622579032862676,22.393765622702546
1996,Neuroscience,59523,9.5761302353712,24.175438596491226
2011,Neuroscience,123137,15.623248901629891,18.770142426447656
2006,Neuroscience,94181,13.068453297374205,20.28761780955476
2013,Neuroscience,140276,16.910234109897633,19.2656296108933
2017,Neuroscience,180342,17.60322054762618,19.73161973161973
2002,Neuroscience,70850,10.112914608327452,20.96301465457083
1997,Neuroscience,59209,9.848164974919353,22.56902761104442
2014,Neuroscience,152682,16.948952725272136,19.031609861658552
2004,Pharmaceutics,97890,6.874042292368985,22.157824342398573
2007,Pharmaceutics,121103,8.122011841160004,16.937779585197234
2002,Pharmaceutics,85121,6.795032953090306,25.172890733056708
